"title","season","episode","rating","votes","original air date","plot","movieID","runtime_min"
"Hold My Hand as I'm Lowered","7","3","7.801234567891","271","28 Sep. 2009","Nathan and Haley have to decide what to do about Renee's pregnancy claims as Clay thinks paying her off is the best way as it is Nathan's contract year. Mouth is asked by his station manager to investigate any titillating scandal about Nathan but decides not to tell his boss about the alleged pregnancy. Mouth and Skills come to an agreement about living together and Alex tests the patience of Millicent during a photo-shoot. Later she gives Julian a film script. Meanwhile, Quinn's husband David comes to find her when she won't answer his calls.","1469959","48"
"Believe Me, I'm Lying","7","4","7.801234567891","263","5 Oct. 2009","A disgruntled Renee makes her pregnancy known in the national media. Quinn tells David that she wants a divorce and spends the night with Clay. Mouth quits his job at the station after he is forced to report on the scandal surrounding Nathan. Brooke's fashion show is a huge success but Victoria warns her about Alex and Alex's obvious designs on Julian.","1477454","60"
"Your Cheatin' Heart","7","5","7.701234567891","266","12 Oct. 2009","Renee presses charges and has Haley arrested and thrown in Jail. Clay and Quinn grow close much to Nathan's distaste. Elsewhere, after a false start Julian and Alex begin to work on her script.","1487546","60"
"Deep Ocean Vast Sea","7","6","7.901234567891","264","19 Oct. 2009","Julian gives Alex another chance and they continue to work on her script which he believes is very good but Brooke is not happy. Brooke reconnects with Chase to make Julian jealous and it works. Mouth gets to tell the truth on air about the allegations against Nathan much to his station manager's horror. Milicent begins to take weight loss tablets after Alex tells her she is a plus-size model. Elsewhere, Haley offers to pay off Renee unknown to her that Rachel and Dan have got to her first.","1492081","60"
"I and Love and You","7","7","9.001234567891","366","26 Oct. 2009","Dan and Rachel bring Renee onto his chat show. But does Dan have a few tricks up his sleeve? Meanwhile, Clay and Quinn reflect over their past loves - Clay and his late wife Sarah and Quinn and her earlier life with David.","1492082","60"
"I Just Died in Your Arms Tonight","7","8","8.201234567891","287","2 Nov. 2009","Nathan, Julian, Mouth, Skills, James and Chuck go camping. Back in Tree Hill, Haley, Brooke and Quinn enjoy some ""special"" brownies. Meanwhile, Clayton continues to deal with his mourning issues and Dan has nightmares about a dying boy.","1505642","41"
"Now You Lift Your Eyes to the Sun","7","9","7.801234567891","268","9 Nov. 2009","Haley returns to the stage much to Miranda's annoyance but the gig turns out to be a success and changes Miranda's attitude somewhat. Brooke believes she might be pregnant but is conflicted on how Julian will take the news - but the test proves negative. Julian finishes the script with Alex and heads out to be with Brooke at Haley's gig but gets a call from Alex telling him she's close to taking cocaine again so he goes to her much to Brooke's annoyance. Rachel and Dan arrive back in Tree Hill but his hoped reconciliation with Nathan doesn't materialize. But Dan isn't...","1513938","48"
"You Are a Runner, and I Am My Father's Son","7","10","7.901234567891","264","16 Nov. 2009","After losing his place on the Charlotte Bobcats Nathan reaches breaking point with Clay and fires him but this ends up causing a rift between Haley and Quinn with Quinn moving out to a hotel. Dan takes it badly that Clay messed up and tries to teach him a lesson by nearly drowning him in the surf. Later Clay is fired by his boss for stuffing up Nathan's contract. Victoria arrives unannounced and takes a liking to new TRIC bar manager Grubbs. Meanwhile, Brooke tells Julian that it is doubtful that she will ever be able to get pregnant and he promises to get different ...","1528517","48"
"You Know I Love You, Don't You","7","11","8.001234567891","269","30 Nov. 2009","Victoria bails Millicent out of jail the morning after her arrest and tells her to get herself together before she shows herself again. But Victoria is doubtful that Millicent has learned her lesson and proceeds to keep an eye on her and she is proved correct when Millicent steals a dress from Brooke's new collection to give to her model friend Makenna is exchange for a packet of blow. Mouth is distraught at the change in Millicent and they break up. Clay tries in vain to hold onto his one client but it is not to be and so he packs up his apartment much to Quinn's ...","1533457","47"
"Some Roads Lead Nowhere","7","12","8.501234567891","284","7 Dec. 2009","Clay gets his mojo back with some help from Quinn and which might mean that Nathan can stay in the US and play in the NBA with the his old team the Charlotte Bobcats instead of going to Spain. Skills gets offered and takes the job in Los Angeles and brings Mouth along for the ride. Dan goes against Rachel on his television show and tells his audience that this is his last show and also serves with divorce papers. Julian rescues Alex from her near suicide bid and tells her the film deal is back on. Brooke fires Millicent from her model contract and tells her to get ...","1532460","48"
"Weeks Go by Like Days","7","13","7.901234567891","264","18 Jan. 2010","Nathan and Jamie join Haley on tour as it comes to a close. Quinn gets her divorce from David. Millicent appears in court for her DUI where Victoria offers her a job as her assistant at Clothes over Bros. Brooke finds it hard to trust Julian particularly when Alex is always by his side and ends up turning to new menswear designer Alexander Coin. Elsewhere, Haley and Quinn's sister Taylor turns up in Tree Hill with Quinn's ex-husband David who is now her boyfriend. Meanwhile, Mouth returns from L.A.","1563620","49"
"Family Affair","7","14","8.201234567891","261","25 Jan. 2010","Nathan tries to calm Haley down after Taylor and David's shock announcement that they are a couple and then through the ensuing dinner that Taylor plans out until all three James sisters find themselves in the pool fighting it out. David and Quinn talk and he agrees with her that their marriage is at an end. Julian takes offense to the director hired for his new film and fires him after he punches him for insulting Alex. Finally after talking to Brooke rationally and asking her to be the movie's costume designer she makes him see that he should direct the movie ...","1563854","60"
"Don't You Forget About Me","7","15","8.201234567891","303","1 Feb. 2010","Flashback to the '80s.","1562742","49"
"My Attendance Is Bad But My Intentions Are Good","7","16","8.101234567891","259","8 Feb. 2010","Haley, Quinn and Taylor receive a surprise visit from their mom Lydia who tells them that she has incurable pancreatic cancer and that she is not seeking any further treatment. Quinn takes the news very hard but Clay is there to support her. Meanwhile, Alex sets her sights on Alexander as Brooke and Julian try to get their old relationship back on track, and Millicent finds herself struggling with temptation.","1576072","48"
"At the Bottom of Everything","7","17","7.901234567891","255","15 Feb. 2010","Haley and Quinn refuse to accept that their mom Lydia will not fight her pancreatic cancer and after some convincing manages to persuade her mother to get a second opinion with Nathan's doctor but the results don't bring any change. Because she told Jamie that she won't be alive for Christmas he organizes for her to have Christmas now with the family. Meanwhile, Brooke and Julian's relationship moves up a notch but comes crashing down spectacularly when Brooke finds Alex in his bed but is it what it seems? Elsewhere, Grubbs puts Miranda through hoops before he allows ...","1575347","60"
"The Last Day of Our Acquaintance","7","18","8.701234567891","287","22 Feb. 2010","In getting back at Julian for sleeping with Alex, Brooke messes with the costumes for the shoot and generally does her best to wound Julian but it takes comments from Alex to get her thrown off the set after she punches Alex in the face. Only later does she discover that it was Alexander that Alex slept with as she switched rooms with Julian. She tells Victoria who is furious and it later transpires that her mystery lover is Alexander. Meanwhile, Lydia takes ill from her cancer and is hospitalized and reaches out to the daughter Taylor but it is Quinn who manages to ...","1589837","48"
"Every Picture Tells a Story","7","19","7.901234567891","248","26 Apr. 2010","Quinn's gallery opens with Clay very supportive unaware that he is being stalked by Sara lookalike Katie until she makes her presence known and Clay shows Quinn how alike Katie is to Sara. Josh's sex tape with Alex is emailed to Julian's father with a demand for $1,000,000 putting the film in jeopardy. Miranda finds out she is being deported thus putting a spanner in the works with Grubbs's recording but Grubbs finds a way around it by proposing to her. Lauren tells Skills that she has fallen for someone else but he is unaware it is his best friend Mouth until he sees...","1609352","60"
"Learning to Fall","7","20","7.801234567891","239","3 May 2010","Haley continues to struggle with the aftermath of her beloved mother's death and her erratic behaviour causes alert with Nathan. Alex discovers that Josh is bisexual and tells Julian who confronts him about the blackmail. Alex tells Paul to release the tape and not to give in to the blackmail. Grubbs wears Miranda down in his pursuit to keep her from being deported. Mouth tells Lauren that they cannot continue their relationship as his friendship with Skills is more important. Elsewhere, Brooke is mistaken for her mother when it is published that she is having an ...","1609353","60"
"What's in the Ground Belongs to You","7","21","7.901234567891","248","10 May 2010","Quinn takes Jamie on a treasure hunt as an increasingly despondent Haley further withdraws from both Nathan and Jamie. Katie invades Clay's personal space convinced that she is his dead wife Sara. Clay plays along until he manages to have her committed. Mia breaks up with Chase by text and then comes back to Tree Hill to manage a heart-broken Grubbs after Miranda leaves. Julian shows his film to a delighted Brooke as he anxiously awaits confirmation on whether his indie film will be bought by a film festival.","1617488","60"
"Almost Everything I Wish I'd Said the Last Time I Saw You","7","22","8.501234567891","321","17 May 2010","Haley tries to overcome her depression by joining Nathan, Jamie and the rest of the Tree Hill gang on a trip to Utah for the premiere of Julian's film.","1636221","49"
"Asleep at Heaven's Gate","8","1","8.301234567891","308","14 Sep. 2010","As the gang returns from Utah, Brooke and Julian are engaged, Haley learns that she is pregnant, Nathan must leave for training camp, and Clay and Quinn are assaulted and shot by Katie.","1664458","60"
"I Can't See You, But I Know You're There","8","2","7.901234567891","266","21 Sep. 2010","Clay and Quinn discover they've been shot, and as they fight to live, Nathan and Haley struggle with the situation. Meanwhile, Julian tries to preoccupy Jamie, and Brooke's legal troubles mount.","1664462","48"
"The Space in Between","8","3","8.201234567891","260","28 Sep. 2010","As the situation at the hospital worsens; Nathan makes a huge decision regarding his career. Brooke and Julian take Jamie for the day, while Victoria and Millicent hatch a plan.","1664463","60"
"We All Fall Down","8","4","7.801234567891","255","5 Oct. 2010","As Brooke deals with the mounting financial troubles at Clothes Over Bro's, Nathan and Haley come to a conclusion regarding Nathan's career. Meanwhile, Julian begins a new film project, while Alex and Chase spend the afternoon together.","1664464","60"
"Nobody Taught Us to Quit","8","5","8.101234567891","240","12 Oct. 2010","As Clay is discharged from the hospital, Nathan contemplates walking away from the NBA. Meanwhile, Brooke and Victoria disagree on how to handle the company's financial problems, and Chase discovers a secret about Alex.","1664465","60"
"Not Afraid","8","6","8.001234567891","265","19 Oct. 2010","As Halloween approaches in Tree Hill, Brooke and Julian get an unexpected visitor, and Nathan begins a new career. Meanwhile, Clay and Quinn struggle with life back at the beach house, and Haley and Mia host an open mic night at Tric.","1664466","41"
"Luck Be a Lady","8","7","8.001234567891","245","2 Nov. 2010","Nathan is furious when his first mission as Clay's junior agent seems to go wrong because of his lack of jargon knowledge, but he actually lands the football client. Julian accepts Alex's suggestion to assemble all potential best men for a friendly poker night, but the mood is murderous. Chase gets abused by everyone. It's Brooke's turn to be bullied by Julian's bossy ma who pushes for a traditional wedding at a brides fair, where Haley - blaming pregnancy hormones - sides with the enemy every time.","1664467","41"
"Mouthful of Diamonds","8","8","7.801234567891","242","9 Nov. 2010","Clay finally gets some hand muscle control back. As he predicted, Nathan had no reason to be gloomy about his first contract, football talent Troy, which is signed to all parties' satisfaction. Julian and Brooke stand up to his mother, who has to back down on the fancy wedding plans but relapses into drinking. After some occupational therapy for Mouth and himself, Chase handles his Alex-Mia-dilemma. In Nathan's absence, Jamie finds it even harder to face the peril of peer ridicule for getting braces, which Haley only compounds by wearing a 'commiserative' eye-patch.","1664468","42"
"Between Raising Hell and Amazing Grace","8","9","8.401234567891","267","16 Nov. 2010","The gang gathers at Nathan and Haley's to spend Thanksgiving with friends and family.","1664469","41"
"Lists, Plans","8","10","8.001234567891","259","30 Nov. 2010","Nathan goes back to college and opts to take a harder class but he doesn't get a very welcome reception from his college professor and so with Jamie's help they figure out a way for Nathan to do better at college. Haley and Mia book Erin as warm-up act to Kid Cudi at Tric with both Mia and Alex acting as competing bar staff. Elsewhere, Quinn looks up Dan Scott and enlists his help to kill Katie Ryan but he manages to talk her out of it but she may regret her decision as Katie heads back to Tree Hill. Julian finds a list belonging to Brooke of things she's always ...","1664459","42"
"Darkness on the Edge of Town","8","11","9.201234567891","439","7 Dec. 2010","A storm strikes Tree Hill, putting everyone's life in danger.","1664460","42"
"The Drinks We Drank Last Night","8","12","8.801234567891","326","25 Jan. 2011","After a wild night out on the town for her bachelorette party, Brooke and the girls try to piece together the night before amidst the wreckage of the day after.","1664461","42"
"The Other Half of Me","8","13","8.501234567891","273","1 Feb. 2011","The biggest day of Brooke Davis' life has arrived, her wedding day. Julian gets his parents to agree to a truce on their special day, but will they uphold their end? Brooke makes up with her mom, and when her dad fails to turn up, her mom walks her down the aisle. Nathan's advice of sincerity helps inspire Julian's 'best man' Jamie to make a brilliantly simple speech. Chase disagrees with Skills' absurd security-obsessed job description for them as ushers. He ends up making hotter use of the limousine.","1731880","42"
"Holding Out for a Hero","8","14","7.801234567891","269","8 Feb. 2011","Brooke, Quinn and Haley decide to use their talents for the greater good. Meanwhile, Julian takes on a directing job and helps out a friend, and Chase mentors Chuck.","1731881","60"
"Valentine's Day Is Over","8","15","7.801234567891","250","15 Feb. 2011","Sex games, secrets and shoelaces all come into play as the couples of Tree Hill celebrate Valentine's Day.","1731882","60"
"I Think I'm Gonna Like It Here","8","16","7.801234567891","227","22 Feb. 2011","As the girls plan a surprise baby shower for Haley, the guys participate in try-outs for Jamie's baseball team. Meanwhile, Brooke and Julian pursue adoption, while Mouth gets Millicent ready for her first day at work.","1731883","47"
"The Smoker You Drink, the Player You Get","8","17","8.001234567891","224","1 Mar. 2011","As Haley's due date approaches, she takes steps to ensure that all her friends and family will be ready when the time comes. Brooke and Julian also prepare to begin a family, while Chuck turns to Chase for help with a problem.","1731884","48"
"Quiet Little Voices","8","18","7.801234567891","245","19 Apr. 2011","The big day has finally arrived and the gang gathers at the hospital to await the birth of Haley and Nathan's baby. While they wait, they reminisce about the memories they have shared over the years.","1731885","60"
"Where Not to Look for Freedom","8","19","7.901234567891","221","26 Apr. 2011","While Haley stays at home to take care of the new baby, Quinn organizes a concert at Tric. Meanwhile, Brooke gets an offer to return to Clothes Over Bros, and Nathan sets his sights on exposing Professor Kellerman.","1731886","43"
"The Man Who Sailed Around His Soul","8","20","7.901234567891","237","3 May 2011","As Nathan, Julian and Clay coach Jamie's first little league game, the situation regarding the accident comes to a head. Meanwhile, Chase asks Alex to take a drug test for him, and Quinn gets an offer to shoot in Puerto Rico.","1731887","43"
"Flightless Bird, American Mouth","8","21","8.101234567891","239","10 May 2011","Nathan, Jamie, Clay, Julian, Chase and Chuck have a camp-out on the Rivercourt. Meanwhile, Brooke, Quinn, Alex and Lauren take a trip to Puerto Rico.","1731888","42"
"This Is My House, This Is My Home","8","22","8.601234567891","315","17 May 2011","Haley and Brooke get ready to re-open Karen's Café as Brooke's pregnancy progresses. At her scan she discovers that she is expecting twins. Nathan and Clay set off on the road to scout new talent and it forces Nathan to finally go and see Dan. Chase leaves for the Air Force leaving behind two disappointed people - Chuck and Alex. Meanwhile, Mouth and Millie start their new morning show together but Millie is wooed away to start a new show with another co-anchor in Charlotte.","1731889","42"
"Know This, We've Noticed","9","1","8.401234567891","381","11 Jan. 2012","Before tired Nathan can finally rejoin his longing family, Dan has turned up and secured himself a temporary stay on account of his burnt-down restaurant, where he lived, but may have torched it. Chase is happy but exhausted on account of running the bar and an intense sex life with Alex. As if nocturnal baby care exhaustion wasn't bad enough for Julian and Brooke, his studio project only seems to bring debt and her boys fashion label fails to get financed, but her father Ted Davis actually turns up for the twins' christening. Clay's exhaustion is diagnosed medically ...","1979880","42"
"In the Room Where You Sleep","9","2","7.801234567891","253","18 Jan. 2012","Chase confides only in Chuck his plan to move Alex's things into his place. They ignore Chris Keller made her an offer for a career-boosting, national tour. As even the psychiatrist Clayton grudgingly consults can't properly diagnose his problems, Nathan decides with support from Jamie and Haley to attend in his pace the European forum for international sports talent scouting. This allows Dan to prolong his stay and carry out a mysterious plan. Julian warns Brooke that Victoria tries trough him to sabotage her father's apparently business-wise sound project to ...","1979885","43"
"Love the Way You Lie","9","3","7.901234567891","260","25 Jan. 2012","Chase is heartbroken after Alex's desertion to take the tour Chris Keller advised, yet overcomes his bitterness toward Keller, who pleads her artist temperament was a lost case from the start. Julian is near despair about the unused studio until a TV series project comes within reach. Alas coaxing the studio proves tragically incompatible with paternal duties, while Brooke charms investors for her boys fashion project with her father. Clayton's problem is worse then thought, as Quinn discovers spying on him. Haley now runs Karen's café, but her cook is sick, so Dan ...","1979886","43"
"Don't You Want to Share the Guilt?","9","4","8.401234567891","266","1 Feb. 2012","Julian is even more shattered than Brooke, who gives him the silent treatment, over having forgotten baby son Davis in his car. Although the boy is alright, Brooke leaves with the twins until Haley talks sense into her. Drunk, Chase enjoyed a wild night with a shameless flirtster but shyly wriggles out of continuation in the morning, on account of Alex's memory, only to find her with Chris Keller the next day. Dan and Jamie enjoy camping but dreaded Nathan's return is likely to mean grandpa's exit. After Dan scares away Clay's dealer, he comes clean to Quinn and ...","1979887","43"
"The Killing Moon","9","5","8.401234567891","258","8 Feb. 2012","Chase bravely bares Chuck's absurd, imitative adoration for 'cool', actually neglectful Chris Keller and stands by the ingrate knave when his father Wade Scolnic finally visits, but discards Chase as if a random babysitter. Nathan is missing since his flight home from Europe days ago. After cocky Keller helps activating Tree Hill PD officer Stevens, Haley finds Dan's cash stash and suspects a horrible crime. Julian can't forgive himself even now his loved-ones do, blames himself for bullying by strangers and picks a bar-brawl to get a 'bloody good' beating. Pushed by ...","1979888","42"
"Catastrophe and the Cure","9","6","8.201234567891","242","15 Feb. 2012","Chase doesn't punish Keller for letting Chuck down, yet when Tara's infidelity gets out allows Chris to exact a high, tasteless price from basically innocent Chase. Nathan is kidnapped by East European thugs who have a contract to kill him for (legally) signing up a a player from a crime lord's team. Nathan offers to pay ransom instead, but that only inspires the chief thug to eliminate his client's watchdog and offer Nathan's head to the highest bidder. When Dan rents some studio facilities, Julian quickly realizes it's to search for Nathan among his many enemies and...","1979889","43"
"Last Known Surroundings","9","7","8.401234567891","303","22 Feb. 2012","Haley seeks help from Lucas as Nathan makes an escape attempt. Brooke comes face-to-face with Xavier. Julian uncovers evidence that assists Dan in his search for Nathan. Clay makes a connection with another patient.","1979890","43"
"A Rush of Blood to the Head","9","8","8.601234567891","277","29 Feb. 2012","Haley receives news of a possible tragedy. Dan's search for Nathan leads him back to his dark past. Clay has a breakthrough in his treatment. Brooke and Julian deal with Xavier. Chase's concern for Chuck pushes him to his limits.","1979891","43"
"Every Breath Is a Bomb","9","9","8.201234567891","242","7 Mar. 2012","Brooke and Julian take new measures to protect their family. Skills helps Mouth get to a turning point, and Chase faces consequences for defending Chuck. Clay reaches a new understanding with Logan.","1979892","42"
"Hardcore Will Never Die, But You Will","9","10","9.101234567891","355","14 Mar. 2012","Dan, Julian and Chris Keller attempt to rescue Nathan. Brooke's conflict with Xavier escalates. Quinn and Clay revisit the past.","1979881","43"
"Danny Boy","9","11","9.401234567891","538","21 Mar. 2012","Nathan's practically safe return causes general joy. The only downside is Dan's condition, probably terminal, but the whole family is in a forgiving mood while reminiscing, only Lucas refuses to come. Julian is welcomed as a hero and hears Brooke survived Xavier's attack, then stands by her as a paternal visit proves too good to be truly non-business. Clay goes to Sara's parents, who have raised Logan, and gets them to agree to let his son be invited home with him and Quinn.","1979882","43"
"Anyone Who Had a Heart","9","12","8.401234567891","270","28 Mar. 2012","Julian finally sells his One Tree Hill series concept to a studio and is hired to complete the script. Clayton and Quinn, who welcomes Sara's memory to, patiently win Logan's trust to become a warm; close family. Chase gets over his confidence crisis as bar manager just before he's offered a chance to buy Tric from Karen on the boat burning day. After Julian scolds father-in-law a useless father and Brooke 'surprises' her divorced parents back in bed, an unexpected business move makes up for a lot.","1979883","42"
"One Tree Hill","9","13","9.301234567891","777","4 Apr. 2012","Super-dad Nathan enjoys being back home and instills in doting Jamie to be good but live his own life. Chase enjoys his new status as independent bar owner, although his latest cocktail to celebrate Tric's tenth anniversary is most cruelly 'welcomed'. Chris Keller is back, impresses but turns down a studio scout after a great performance. Julian celebrates his Hollywood success by buying Brooke's childhood home, while the Baker Man firm is launched by Internet sale. Clay and Quinn complete building their family by adopting Logan, who already considers them his parents...","1979884","120"
